DateTime,Total,ma_3m,ma_12m
2023-09-30,1527905.08,1527905.08,1527905.08
2023-10-31,1652921.87,1590413.475,1590413.475
2023-11-30,1727397.13,1636074.6933333334,1636074.6933333334
2023-12-31,1919836.0,1766718.3333333333,1707015.02
2024-01-31,1804382.92,1817205.3499999999,1726488.6
2024-02-29,1703935.55,1809384.8233333332,1722729.7583333335
2024-03-31,1920986.95,1809768.4733333334,1751052.2142857143
2024-04-30,2062614.68,1895845.7266666666,1789997.5225
2024-05-31,2103333.84,2028978.49,1824812.6688888888
2024-06-30,2118347.52,2094765.3466666664,1854166.1539999999
2024-07-31,2337719.13,2186466.83,1898125.5154545454
2024-08-31,2325824.32,2260630.3233333332,1933767.0824999998
2024-09-30,2312886.02,2325476.4899999998,1999182.160833333
2024-10-31,2477085.05,2371931.796666667,2067862.4258333333
2024-11-30,2457453.29,2415808.1199999996,2128700.4391666665
2024-12-31,2779585.34,2571374.56,2200346.2175
2025-01-31,2470307.42,2569115.3499999996,2255839.9258333333
2025-02-28,2432173.47,2560688.7433333336,2316526.4191666665
2025-03-31,2570468.46,2490983.1166666667,2370649.8783333334
2025-04-30,2676807.7,2559816.5433333335,2421832.63
2025-05-31,2822151.68,2689809.28,2481734.1166666667
2025-06-30,2869831.18,2789596.8533333335,2544357.7550000004
2025-07-31,3058597.5,2916860.1199999996,2604430.9525
2025-08-31,,2964214.34,2629758.828181818
